Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Isle of Man,,38008,44698,,,,116,136,,,
Brazil,Americas,37971485,17864,4683,2,4683,703750,331,4,,4
Wallis and Futuna,Western Pacific,3760,33434,,,,9,80,,,
Lesotho,Africa,36140,1687,,,,709,33,,,
Romania,Europe,3603817,18645,48,,48,69095,357,2,,2
Guernsey,,35326,54796,,,,67,104,,,
North Macedonia,Europe,352093,16900,,,,9991,480,,,
Brunei Darussalam,Western Pacific,350550,80130,,,,182,42,,,
Zambia,Africa,349892,1903,,,,4078,22,,,
Haiti,Americas,34901,306,0,,0,860,8,,,
Faroe Islands,,34658,70926,,,,28,57,,,
Republic of Korea,Western Pacific,34571873,67432,,,,35934,70,,,
Denmark,Europe,3453339,59308,92,2,92,10012,172,,,
Kenya,Africa,344140,640,,,,5689,11,,,
Saint Pierre and Miquelon,,3426,59120,,,,2,35,,,
Japan,Western Pacific,33803572,26727,,,,74694,59,,,
Albania,Europe,337234,11718,0,,0,3608,125,,,
Mauritius,Africa,332105,26114,,,,1074,84,,,
Mali,Africa,33199,164,,,,743,4,,,
Botswana,Africa,330699,14063,,,,2801,119,,,
Micronesia (Federated States of),Western Pacific,31765,27616,,,,62,54,,,
Cayman Islands,Americas,31472,47888,,,,37,56,,,
Saint Lucia,Americas,30254,16476,0,,0,410,223,0,,0
Singapore,Western Pacific,3006155,51384,,,,2024,35,,,
Tuvalu,Western Pacific,2943,24958,,,,1,8,,,
International commercial vessel,Other,29,,,,,0,,,,
Benin,Africa,28036,231,,,,163,1,,,
Sweden,Europe,2785433,26971,383,4,383,29323,284,23,,23
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),Europe,274279,15274,,,,3212,179,,,
Somalia,Eastern Mediterranean,27334,172,,,,1361,9,,,
Algeria,Africa,272435,621,,,,6881,16,,,
Italy,Europe,26969856,45220,35,,35,198523,333,,,
Nigeria,Africa,267229,130,,,,3155,2,,,
New Zealand,Western Pacific,2668236,55332,,,,4538,94,,,
Zimbabwe,Africa,266436,1793,,,,5740,39,,,
Holy See,,26,3214,,,,0,,,,
Solomon Islands,Western Pacific,25954,3779,,,,199,29,,,
Serbia,Europe,2568004,37074,0,,0,18057,261,,,
United States Virgin Islands,Americas,25389,24313,,,,132,126,,,
San Marino,Europe,25292,74524,,,,126,371,,,
Congo,Africa,25234,457,,,,389,7,,,
Montenegro,Europe,251280,40009,,,,2654,423,,,
United Kingdom of Great Britain and Northern Ireland,Europe,25111927,36991,1000,1,1000,232112,342,,,
Russian Federation,Europe,24901467,17063,,,,404290,277,,,
Iraq,Eastern Mediterranean,2465545,6130,,,,25375,63,,,
Afghanistan,Eastern Mediterranean,235214,604,,,,7998,21,,,
Timor-Leste,South-East Asia,23460,1779,,,,138,10,,,
Mozambique,Africa,233927,748,,,,2252,7,,,
Martinique,,230354,61384,,,,1104,294,,,
Hungary,Europe,2240687,22935,69,1,69,49124,503,,,
Burkina Faso,Africa,22217,106,,,,400,2,,,
Lao People's Democratic Republic,Western Pacific,219060,3011,,,,671,9,,,
Saint Helena,,2166,35678,,,,0,,,,
Liechtenstein,,21649,55873,0,,0,89,230,0,,0
Iceland,Europe,211237,58011,7,2,7,186,51,,,
Gibraltar,,20550,60996,,,,113,335,,,
Bangladesh,South-East Asia,2052275,1246,,,,29531,18,,,
Guadeloupe,,203235,50793,,,,1021,255,,,
El Salvador,Americas,202066,3115,0,,0,4230,65,,,
International conveyance (Kiribati),Other,2,,,,,0,,,,
Grenada,Americas,19693,17501,,,,238,212,,,
Falkland Islands (Malvinas),,1923,55211,,,,0,,,,
Trinidad and Tobago,Americas,191496,13683,,,,4390,314,,,
Slovakia,Europe,1889613,34622,47,1,47,21393,392,,,
South Sudan,Africa,18873,169,,,,147,1,,,
Bermuda,Americas,18860,30286,,,,165,265,,,
Maldives,South-East Asia,186694,34538,,,,316,58,,,
Georgia,Europe,1864337,46735,0,,0,17151,430,,,
Tajikistan,Europe,17786,186,,,,125,1,,,
Ireland,Europe,1766180,35577,162,3,162,9772,197,,,
Uzbekistan,Europe,175158,523,0,,0,1016,3,,,
Jordan,Eastern Mediterranean,1746997,17122,,,,14122,138,,,
Ghana,Africa,172779,556,,,,1463,5,,,
Namibia,Africa,172557,6791,,,,4110,162,,,
Uganda,Africa,172222,377,,,,3632,8,,,
Monaco,Europe,17181,43780,,,,67,171,,,
Equatorial Guinea,Africa,17130,1221,,,,183,13,,,
Samoa,Western Pacific,17057,8597,,,,31,16,,,
T�rkiye,Europe,17004725,20162,0,,0,101419,120,,,
Tonga,Western Pacific,16992,16076,,,,13,12,,,
Nicaragua,Americas,16805,254,0,,0,245,4,,,
Marshall Islands,Western Pacific,16297,27532,,,,17,29,,,
Dominica,Americas,16047,22290,0,,0,74,103,0,,0
Pakistan,Eastern Mediterranean,1580631,716,,,,30656,14,,,
Jamaica,Americas,157665,5324,1,,1,3634,123,0,,0
Djibouti,Eastern Mediterranean,15690,1588,,,,189,19,,,
Norway,Europe,1550914,28894,352,7,352,5732,107,,,
Central African Republic,Africa,15492,321,,,,113,2,,,
Finland,Europe,1517529,27465,264,5,264,11466,208,,,
Kazakhstan,Europe,1504370,8012,,,,19072,102,,,
Northern Mariana Islands,Western Pacific,14985,26035,,,,41,71,,,
Lithuania,Europe,1447759,51815,404,14,404,9921,355,0,,0
Montserrat,Americas,1403,28066,,,,8,160,,,
Spain,Europe,13980340,29536,,,,121880,257,,,
Cambodia,Western Pacific,139326,833,,,,3056,18,,,
Croatia,Europe,1371441,33795,66,2,66,18805,463,0,,0
Slovenia,Europe,1366791,65214,39,2,39,9914,473,,,
Bulgaria,Europe,1341053,19292,15,,15,38777,558,,,
Rwanda,Africa,133274,1029,,,,1468,11,,,
Morocco,Eastern Mediterranean,1279115,3465,,,,16305,44,,,
Gambia,Africa,12627,522,,,,372,15,,,
Guatemala,Americas,1255261,7007,,,,20205,113,,,
Cameroon,Africa,125320,472,,,,1974,7,,,
Malta,Europe,125285,24348,2,,2,1119,217,1,,1
Puerto Rico,Americas,1252713,43788,,,,5938,208,,,
Costa Rica,Americas,1242598,24393,58,1,58,9397,184,0,,0
Lebanon,Eastern Mediterranean,1239904,18166,,,,10947,160,,,
Saint Martin (French part),,12324,31879,,,,46,119,,,
Bolivia (Plurinational State of),Americas,1212180,10384,0,,0,22389,192,0,,0
Vanuatu,Western Pacific,12019,3913,,,,14,5,,,
International conveyance (Vanuatu),Other,12,,,,,0,,,,
Greenland,Europe,11971,21086,,,,21,37,,,
Yemen,Eastern Mediterranean,11945,40,,,,2159,7,,,
"Bonaire, Saint Eustatius and Saba",Americas,11922,,,,,41,,,,
Australia,Western Pacific,11861161,46515,,,,25236,99,,,
Viet Nam,Western Pacific,11624000,11942,,,,43206,44,,,
Tunisia,Eastern Mediterranean,1153361,9759,,,,29423,249,,,
Cuba,Americas,1113834,9834,,,,8530,75,,,
Sint Maarten (Dutch part),Americas,11051,25771,,,,92,215,,,
Niue,Western Pacific,1092,67491,,,,0,,,,
Barbados,Americas,109141,37979,0,,0,593,206,,,
Ecuador,Americas,1081983,6133,5,,5,36064,204,0,,0
Angola,Africa,107487,327,,,,1937,6,,,
United Arab Emirates,Eastern Mediterranean,1067030,10789,,,,2349,24,,,
Panama,Americas,1045662,24234,1,,1,8830,205,,,
Uruguay,Americas,1043229,30032,1,,1,7696,222,0,,0
United States of America,Americas,103436829,31250,,,,1235505,373,225,,225
Eritrea,Africa,10189,287,,,,103,3,,,
Argentina,Americas,10118918,22389,38,,38,130838,289,1,,1
Mongolia,Western Pacific,1011489,30854,,,,2136,65,,,
Democratic Republic of the Congo,Africa,101010,113,,,,1474,2,,,
Nepal,South-East Asia,1003946,3446,,,,12034,41,,,
Democratic People's Republic of Korea,South-East Asia,0,,,,,0,,,,
Turkmenistan,Europe,0,,,,,0,,,,
